No,Code,Herbarium_number,Collector_number,Name,Corrected_name,fullCountry,Province,National_Park_or_Wildlife_Sanctuary,Location,Date,Alt,lat,lon,Note
47,BCU,B002602,n.s.,Leucobryum sanctum,Leucobryum sanctum,Thailand,Chon Buri,Khao Khiao Wildlife Sanctuary,Khao Kheaw,11/0/1994,ca. 1000 m,,,
48,BCU,B002603,n.s.,Leucobryum sp.,,Thailand,Chiang Mai,Doi Suthep-Pui National Park,Doi Suthep,,,,,
49,BCU,B002605,n.s.,Leucobryum sp.,Leucobryum scalare,Thailand,Chiang Mai,Doi Suthep-Pui National Park,Doi Suthep,19-Mar-04,1400 m,,,on tree trunk
50,BCU,B002606,n.s.,Leucobryum sp.,,Thailand,Chaiyaphum,Pa Hin Ngam National Park,,,,,,
51,BCU,B002610,O. Thaithong 1314,Leucobryum brachyphyllum,Leucobryum scalare,Thailand,Chiang Mai,Chiang Dao Wildlife Sanctuary,Doi Chiang Dao,11-Mar-80,2030 m,,,on bark of Pinus khasya
52,BCU,B002611,K. Sridith,Leucobryum chlorophyllosum,Leucobryum juniperoideum,Thailand,Phitsanulok,Phu Hin Rong Kla National Park,,11-Aug-87,1300 m,,,on humidity rock plate form and cliff
53,BCU,B002612,V. Lertanantrakul,Leucobryum chlorophyllosum,Ochrobryum,Thailand,Sakon Nakhon,Kome-hom National Park,,08-Dec-72,,,,"on decaying log, rocks"
54,BCU,B002613,J. Laohawanich,Leucobryum chlorophyllosum,Ochrobryum,Thailand,Uthai Thani,Huay Kha Khaeng Wildlife Sanctuary,Khao Hin Dang,14-Jan-78,,,,"on rotten log, diterocarp forest"
55,BCU,B002614,O. Thaithong 166,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Loei,Phu Luang Wildlife Sanctury,,28-Mar-76,ca. 1400 m,,,"on soil, rotten log, dry + shaded area"
56,BCU,B002615,O. Thaithong 218,Leucobryum javense var. ?,Leucobryum bowringii,Thailand,Nakhon Ratchasima,Khao Yai National Park,Khao Khieo,06-Feb-77,ca. 1000 m,,,"on rack + soil, mossy forest"
57,BCU,B002616,?????????? bryophyte ???? 2514,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Chiang Mai,Doi Suthep-Pui National Park,Doi Suthep,01-Jan-72,,,,on decaying log
58,BCU,B002617,O. Thaithong 92,Leucobryum sanctum,Leucobryum sanctum,Thailand,Loei,Phu Kradueng National Park,,28-Nov-73,,,,on bark or decaying log
59,BCU,B002618,O. Thaithong 165,Leucobryum sanctum,Leucobryum arfakianum,Thailand,Loei,Phu Luang Wildlife Sanctury,,28-Mar-76,ca. 1400 m,,,"on rotten log, dry + shaded area"
60,BCU,B002619,O. Thaithong 217,Leucobryum sanctum,Leucobryum bowringii,Thailand,Nakhon Ratchasima,Khao Yai National Park,Khao Khieo,06-Feb-77,ca. 1000 m,,,"on rack, soil, mossy forest"
61,BCU,B002620,U. Jinoros 202,Leucobryum sanctum,Leucobryum arfakianum,Thailand,Chiang Mai,Doi Suthep-Pui National Park,Doi Suthep,08-Feb-76,ca. 800 m,,,"on soil, shade area"
62,BCU,B002621,O. Thaithong 222,Leucobryum sanctum,Leucobryum arfakianum,Thailand,Nakhon Ratchasima,Khao Yai National Park,Khao Khieo,06-Feb-77,ca. 1000 m,,,"on rotten log, mossy forest"
63,BCU,B002622,?????????? bryophyte ???? 2515,Leucobryum sanctum,Leucobryum sanctum,Thailand,Chanthaburi,Namtok Phlio National Park,Khao Sa Bap,29-Dec-72,,,,"on rocks, along stream"
64,BCU,B002623,n.s.,Leucobryum scalare,Leucobryum aduncum,Thailand,Prachin Buri,,,0/12/1973,,,,on bark
65,BCU,B002624,??????? ???????????,Leucobryum sanctum,Ochrobryum,Thailand,Surat Thani ,,?????????????,28-Apr-75,,,,
66,BCU,B002625,W. Pornpipal,Leucobryum sanctum,Leucobryum arfakianum,Thailand,Nakhon Ratchasima,Khao Yai National Park,,05-Feb-77,,,,on tree trunk
67,BCU,B002626,Chintana et al.,Leucobryum sanctum,Leucobryum arfakianum,Thailand,Trat,Mu Ko Chang National Park,Koh Chang,30-Dec-74,,,,on bark of tree
68,BCU,B002627,P. Rojanawit 10,Leucobryum sanctum,Leucobryum bowringii,Thailand,Nakhon Ratchasima,Khao Yai National Park,,05-Feb-77,,,,on decaying log
69,BCU,B002628,W. Pongmala 21,Leucobryum sanctum,Leucobryum sanctum,Thailand,Trat,Mu Ko Chang National Park,"Koh Chang, Tan Mayom Waterfall",18-Jan-78,,,,on boulder at stream bank
70,BCU,B002629,K. Sridith,Leucobryum sanctum,Leucobryum scalare,Thailand,Phitsanulok,Phu Hin rong Kla National Park,,20-Oct-87,1300 m,,,on humidity rock
71,BCU,B002630,O. Thaithong 60,Leucobryum scalare,Leucobryum scalare,Thailand,Chiang Mai,,,12-Dec-72,,,,on tree trunk
72,BCU,B002631,O. Thaithong 163,Leucobryum scalare,Leucobryum scalare,Thailand,Loei,Phu Luang Wildlife Sanctury,,28-Mar-76,ca. 1300 m,,,"on rock crevier, bark of tree, open and dry area"
73,BCU,B002632,O. Thaithong 164,Leucobryum scalare,Leucobryum aduncum,Thailand,Nakhon Ratchasima,Khao Yai National Park,Khao Khieo,06-Feb-77,ca. 1000 m,,,"on rotten log, mossy forest"
74,BCU,B002633,O. Thaithong 337,Leucobryum scalare,Leucobryum aduncum,Thailand,Lampang,Doi Khun Tan National Park,Khun Tan,30-Oct-77,ca. 1100 m,,,at base of tree
75,BCU,B002634,O. Thaithong 349,Leucobryum scalare,Leucobryum scalare,Thailand,Lampang,Doi Khun Tan National Park,Khun Tan,30-Oct-77,ca. 1250 m,,,on soil
76,BCU,B002635,O. Thaithong 453,Leucobryum scalare,Leucobryum scalare,Thailand,Chiang Mai,Chiang Dao Wildlife Sanctuary,"Doi Chiang Dao, Houy Tad",11-Dec-78,ca. 800 m,,,on decaying log
77,BCU,B002636,O. Thaithong 437,Leucobryum scalare,Leucobryum scalare,Thailand,Chiang Mai,Doi Suthep-Pui National Park,"Doi Pui, along road side to Ban Mea",09-Dec-78,1300 m,,,"on decaying log, hill evergreen forest"
78,BCU,B002637,W. Lerlanantrakul 4,Leucobryum sp.,,Thailand,Nakhon Ratchasima,Khao Yai National Park,Khao Khieo,,,,,
79,BCU,B002638,T. Boonkerd,Leucobryum sp.,,Thailand,Trat,Mu Ko Chang National Park,Koh Chang,,,,,
80,BCU,B002639,??????? ???????????,Leucobryum scalare,Leucobryum aduncum,Thailand,Surat Thani ,,??????????? ????????????? ?????????,27-Apr-75,,,,
81,BCU,B002640,W. Pongmala 22,Leucobryum sp.,,Thailand,Trat,Mu Ko Chang National Park,Koh Chang,,,,,
82,BCU,B002641,????? ??????,Leucobryum scalare,Leucobryum scalare,Thailand,Lampang,Doi Khun Tan National Park,??????,27-Dec-75,,,,on soils or braks of tree
83,BCU,B002642,Y. Anusri 15,Leucobryum scalare,Leucobryum aduncum,Thailand,Chiang Mai,Doi Suthep-Pui National Park,Doi Suthep,08-Feb-76,700 m,,,"on bark, evergreen forest"
84,BCU,B002643,n.s.,Leucobryum sp.,,Thailand,Phitsanulok,Phu Hin rong Kla National Park,,,,,,
85,BCU,B002644,O. Thaithong 12521,Leucobryum juniperoideum,Leucobryum juniperoideum,Japan,Miyazaki,,"Kyushu, Miyazaki-Ken, Nichinan-shi, Obi, Obi Castle",,,,,
86,BCU,B002645,O. Thaithong 12601,Leucobryum sp.,,Japan,Miyazaki,,"Kyushu, Miyazaki-Ken, Koyu-gun, Nishimera-mura Makinokuchi, in an evergreen forest and Cryptomeria Japanica plantation in valley",,,,,
87,BCU,B002646,O. Thaithong 12638,Leucobryum neilgherrense,Leucobryum juniperoideum,Japan,Miyazaki,,"Kyushu, Miyazaki-Ken, Koyu-gun, Nishimera-mura Makinokuchi, in an evergreen forest and Cryptomeria Japanica plantation in valley",,,,,
88,BCU,B002647,O. Thaithong 12734,Leucobryum neilgherrense,Leucobryum juniperoideum,Japan,Miyazaki,,"Kyushu, Miyazaki-Ken, Nichinan-shi, Sakatani, Inotani Experiment Forest of Hattori",,,,,
89,BCU,B002648,O. Thaithong 12620,Leucobryum scabrum,Leucobryum scabrum,Japan,Miyazaki,,"Kyushu, Miyazaki-Ken, Koyu-gun, Nishimera-mura Makinokuchi, in an evergreen forest and Cryptomeria Japanica plantation in valley",27-Apr-77,290 m,,,
90,BCU,B002649,"K. Mayebara, VI 1951",Leucobryum scabrum,Leucobryum scabrum,Japan,Kumamoto,,Hitoyoshi,sn/sn/1951,ca 600 m,,,
91,BK,BK249,A.F.G. Kerr,Leucobryum aduncum var. aduncum,,Thailand,Songkhla,,Ta Samet,27-Jan-28,,,,on sandy ground in 'Baeckia' heath
92,BK,BK460,A.F.G. Kerr,Leucobryum bowringii,Ochrobryum,Thailand,Surat Thani ,,Kiensa,19-Feb-30,50 m,,,on log in evergreen forest
93,BK,BK38(707),C. Chermsirivathana,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Kanchanaburi,,Pilog Thong,24-Feb-67,1000 m,,,growing on the ground in shade
94,BK,BK225,A.F.G. Kerr,Leucobryum javense var. ?,,Thailand,Surat Thani ,,Kao Nawng,10-Aug-27,800 m,,,on tree in evergreen forest
95,BK,BK8,A.F.G. Kerr,Leucobryum perichaetiale,Leucobryum scalare,Thailand,Chiang Mai,Doi Suthep-Pui National Park,Doi Sutep,06-Sep-14,1500 m ,,,
96,BK,BK248,A.F.G. Kerr,Leucobryum pentastichum,Leucobryum aduncum,Thailand,Satun,Tarutao National Park,Koh Adang,16-Jan-28,300 m,,,on rock
97,BK,BK9,C. Chermsirivathana,Leucobryum scalare,Leucobryum scalare,Thailand,Saraburi,Khao Yai National Park,Kao Yai,14-Oct-64,,,,on tree trunk in evergreen forest
98,BK,BK(430)3,Kaseun,Leucobryum sanctum,Leucobryum sanctum,Thailand,Nakhon Nayok,Khao Yai National Park,Kao Yai,17-Mar-65,600-700 m,,,growing on rotter log in evergreen forest
99,BK,,YYP,Leucobryum glaucum,,USA,,,Iowa,02-Aug-77,,,,on slope of sandstone
100,BK,,"Z.Iwatsuki, T.Amano & S.Sakumoto",Leucobryum scabrum,Leucobryum scabrum,Japan,,,,23-Dec-76,450 m ,,,on soil
101,BK,,YYP,Leucobryum sp.,,USA,,,Iowa,16-Apr-78,,,,
102,BKF,BKF9722,"Akiyama, Irie, Printarakul & Kanzai 1027",Leucobryum aduncum var. aduncum,,Thailand,Chiang Mai,Doi Inthanon National Park,,10-Jan-10,1300 m ,18.55638889,98.53361111,on rotten log in a lower montane Castanopsis forest
103,BKF,BKF4234,Bunnak 375,Leucobryum aduncum var. aduncum,,Thailand,Trat,Mu Ko Chang National Park,"Kaw Chang, Khao Nang Aen",20-Mar-55,190 m ,,,on decaying log in moist locality
104,BKF,BKF4235,Bunnak 375,Leucobryum aduncum var. aduncum,Leucobryum aduncum,Thailand,Trat,Mu Ko Chang National Park,"Kaw Chang, Khao Nang Aen",20-Mar-55,190 m ,,,on decaying log in moist locality
105,BKF,BKF9782,"Akiyama, Irie, Printarakul & Kanzai 1129",Leucobryum bowringii,Leucobryum bowringii,Thailand,Chiang Mai,Doi Inthanon National Park,,14-Jan-10,1650 m,,,on rotten log along a steam in evergreen montane forest
106,BKF,BKF8884,"H. Akiyama, M.Kanzaki, T. Irie & N. Ando 142",Leucobryum bowringii,,Thailand,Chiang Mai,Doi Inthanon National Park,,29-Dec-08,1650-1700 m,18.52611111,98.41305556,on decayed fallen tree along a trail on ridge of upper montane forest
107,BKF,BKF6866,A. Touw 11664,Leucobryum bowringii,Leucobryum bowringii,Thailand,Nakhon Si Thammarat,Khao Luang National Park,granitic massive Khao (Mt.) Luang,05-Feb-66,1250-1450 m,8.5,99.75,evergreen forest along ridge; on tree trunks
108,BKF,BKF6870,A. Touw 12146,Leucobryum bowringii,Leucobryum bowringii,Thailand,Prachin Buri,Khao Yai National Park,Khao Khieo,16-Feb-66,1200 m,14.5,101.5,"hill evergreen forest, on felled trees"
109,BKF,BKF6875,A. Touw 10298,Leucobryum bowringii,Leucobryum bowringii,Thailand,Chiang Mai,Doi Inthanon National Park,between the Karen viliages of Pha Mon and Ban Sop Aep,21-Dec-65,850 m,18.58333333,98.5,narrow fringe of evergreen forest along Mae Hoi River; on decaying log
110,BKF,BKF6881,A. Touw 11699,Leucobryum bowringii,Leucobryum bowringii,Thailand,Nakhon Si Thammarat,Khao Luang National Park,granitic massive Khao (Mt.) Luang,05-Feb-66,1450-1650 m,8.5,99.75,evergreen forest along ridge; on tree trunks
111,BKF,BKF6876,A. Touw 11557,Leucobryum bowringii,Leucobryum bowringii,Thailand,Nakhon Si Thammarat,Khao Luang National Park,granitic massive Khao (Mt.) Luang,04-Feb-66,800-1000 m,8.5,99.75,evergreen forest on ridge; on rocks
112,BKF,BKF6846,A. Touw 12102,Leucobryum bowringii,Leucobryum bowringii,Thailand,Prachin Buri,Khao Yai National Park,Khao Khieo,16-Feb-66,1200 m,14.5,101.5,hill evergreen forest; on felled trees
113,BKF,BKF6887,P. Tixier,Leucobryum brachyphyllum,Leucobryum aduncum,Thailand,Phitsanulok,Phu Miang and Phu Tong Wildlife Sanctuary,Phu Mieng,11-May-65,1300 m ,,,on trunk
114,BKF,BKF6872/1,A. Touw 12375,Leucobryum candidum,Leucobryum aduncum,Thailand,Prachin Buri,Khao Yai National Park,Khao Khieo,18-Feb-66,700 m,14.5,101.5,evergreen forest along stream near forest station; epiphytic
115,BKF,BKF6872/2,A. Touw 12375,Leucobryum candidum,Leucobryum aduncum,Thailand,Prachin Buri,Khao Yai National Park,Khao Khieo,18-Feb-66,700 m,14.5,101.5,evergreen forest along stream near forest station; epiphytic
116,BKF,BKF6897,A. Touw 8795,Leucobryum chlorophyllosum,Leucobryum chlorophyllosum,Thailand,Chiang Mai,Doi Suthep-Pui National Park,"Doi (Mt.) Suthep, granitic massive W of Chiengmai",30-Nov-65,1550-1600 m,18.83333333,98.91666667,"summit region of Doi Buak Hai; evergreen forest on E. slope, on tree trunks and branches"
117,BKF,BKF6898,A. Touw 8421,Leucobryum chlorophyllosum,Leucobryum chlorophyllosum,Thailand,Chiang Mai,Doi Suthep-Pui National Park,"Doi (Mt.) Suthep, granitic massive W of Chiengmai",27-Nov-65,1000-1100 m,18.83333333,98.91666667,Humid evergreen forest along streamlet; on decaying log
118,BKF,BKF2748,A. Touw 11569,Leucobryum chlorophyllosum,Leucobryum chlorophyllosum,Thailand,Nakhon Si Thammarat,Khao Luang National Park,granitic massive Khao (Mt.) Luang,04-Feb-66,1000 m,8.5,99.75,evergreen forest near Camp II; on decaying logs
119,BKF,BKF4126,J. Baumgartner,Leucobryum glaucum,Leucobryum glaucum,Austria,,,Ost-Steiermark,01-Jun-32,450 m,,,
120,BKF,BKF4128,W.C. Barbour,Leucobryum glaucum,Leucobryum glaucum,USA,,,"Nordamerika, Pennsylvanien",,300 m,,,
121,BKF,BKF4814,"Schroeder, Gary J.",Leucobryum glaucum,Leucobryum glaucum,USA,,,"Wisconsin, Bayfield County",29-Jun-69,,,,on rotted stumo/soil well shaded
122,BKF,BKF8893,"H. Akiyama, M.Kanzaki, T. Irie & N. Ando 177",Leucobryum javense var. ?,,Thailand,Chiang Mai,Doi Inthanon National Park,,29-Dec-08,1650-1700 m,18.2177,98.413056,on rotten log along a trail on ridge of upper montane forest
123,BKF,BKF9858,"Akiyama, Irie, Printarakul & Kanzai 1267",Leucobryum javense var. ?,Leucobryum scabrum,Thailand,Chiang Mai,Doi Inthanon National Park,,17-Jan-10,2250 m,18.565278,98.4867,on soil in a mossy evergreen upper montane forest in a small vallry
124,BKF,BKF6852,P. Tixier,Leucobryum javense var. ?,Leucobryum scabrum,Thailand,Phitsanulok,Phu Miang and Phu Tong Wildlife Sanctuary,Phu Mieng,11-May-65,1300 m,,,decayed wood
125,BKF,BKF6864,A. Touw 11877,Leucobryum javense var. ?,,Thailand,Nakhon Si Thammarat,Khao Luang National Park,granitic massive Khao (Mt.) Luang,05-Feb-66,1530-1700 m,8.5,99.75,evergreen forest; on tree trunks and under-growth
126,BKF,BKF6868,A. Touw 10297,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Chiang Mai,Doi Inthanon National Park,between the Karen viliages of Pha Mon and Sop Aep,21-Dec-65,850 m,18.58333333,98.5,narrow fringe of evergreen forest along Mae Hoi River; on decaying log
127,BKF,BKF4246,T. Smitinand 3228,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Chanthaburi,Khao Soi Dao Wildlife Sanctuary,"Pong Namrawn, Khao Soidao",23-Jan-56,1700 m,,,whitish moss on earth in hill evergreen forest
128,BKF,BKF4245,T. Smitinand 362,Leucobryum javense var. ?,,Thailand,Loei,Phu Kradueng National Park,"Phu Kradueng, Tham Saw",09-May-57,,,,Green moss with brown sporophere on damp rock near stream edge of evergreen
129,BKF,BKF4247,T. Smitinand & William 8409,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Nakhon Ratchasima,Khao Yai National Park,"Khao Khie, Khao Yai",11-Nov-63,1400 m,,,whitish green moss on tree
130,BKF,BKF4249,,Leucobryum javense var. ?,,Thailand,,,,,,,,
131,BKF,BKF4239,T. Smitinand 6523,Leucobryum javense var. ?,Leucobryum javense var. javense,Cambodia,Kampot,,Mt. Bokor,,,,,"Whitish moss common in earth, evergreen forest"
132,BKF,BKF4243,R.G. Robbins 3567,Leucobryum javense var. ?,Leucobryum scabrum,Thailand,Chiang Mai,Doi Inthanon National Park,on traok to summit of Doi Inthanon. Near valley of Phrn Mawn,28-Oct-62,2600 ft,,,"epixylic, evergreen gallery forest"
133,BKF,BKF3270,"K. Larsen, T. Smitinand & E. Warncke 73",Leucobryum javense var. ?,Leucobryum scabrum,Thailand,Prachin Buri,Khao Yai National Park,,07-Jul-66,1300 m,,,"open sandstone plateau, Epiphytic on tree"
134,BKF,BKF6845,A. Touw 12051,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Prachin Buri,Khao Yai National Park,,16-Feb-66,1200 m,14.5,101.5,hill evergreen forest; on trees
